month;total_revenue;type
2022-01-01;3995149,7929115337;actual
2022-02-01;4053779,362021983;actual
2022-03-01;4713016,276255906;actual
2022-04-01;4655194,392495992;actual
2022-05-01;4880142,951948567;actual
2022-06-01;4671340,01595493;actual
2022-07-01;4626168,951355359;actual
2022-08-01;4903169,527251961;actual
2022-09-01;5156289,916835057;actual
2022-10-01;5280257,644288123;actual
2022-11-01;5420041,096819526;actual
2022-12-01;5614683,842758596;actual
2023-01-01;5306597,82151553;actual
2023-02-01;5288930,735813935;actual
2023-03-01;5664752,6485735215;actual
2023-04-01;5486546,847006492;actual
2023-05-01;5837955,971431932;actual
2023-06-01;5950887,497274137;actual
2023-07-01;5892118,018106465;actual
2023-08-01;6213711,463308517;actual
2023-09-01;6401082,284225404;actual
2023-10-01;6579476,176331438;actual
2023-11-01;6381316,721458987;actual
2023-12-01;6690260,121923092;actual
2024-01-01;6201729,565880551;actual
2024-02-01;6070275,244982505;actual
2024-03-01;6627020,616650404;actual
2024-04-01;6257498,544045571;actual
2024-05-01;6561769,931306497;actual
2024-06-01;6498077,028167543;actual
2024-07-01;6161329,426228744;actual
2024-08-01;6063880,448647314;actual
2024-09-01;6138489,53894156;actual
2024-10-01;6223982,494889614;actual
2024-11-01;5881113,147018553;actual
2025-01-01;6811799,773150785;projected
2025-02-01;6875394,941397851;projected
2025-03-01;6938990,109644918;projected
2025-04-01;7002585,277891983;projected
2025-05-01;7066180,446139049;projected
2025-06-01;7129775,614386115;projected
2025-07-01;7193370,782633182;projected
2025-08-01;7256965,950880248;projected
2025-09-01;7320561,119127314;projected
2025-10-01;7384156,287374379;projected
2025-11-01;7447751,455621446;projected
2025-12-01;7511346,623868512;projected
